CVX Label	CVX	TCH Label	TCH	Use Status	Check	Diphtheria	HPV	HepA	HepB	Hib	Influenza	Measles	Mening	Mumps	PPSV	Pertussis	Pneumo	Polio	Rotavirus	Rubella	Varicella	Zoster
DTP	01	DTP	111	SUPPORTED		CHILD																
OPV	02	OPV	148	SUPPORTED														ANY & OPV			SAME LIVE	LIVE
MMR	03	MMR	158	SUPPORTED							LIVE	MUMPS & RUBELLA & MEASLES		MUMPS & RUBELLA & MEASLES						MUMPS & RUBELLA & MEASLES	SAME LIVE	LIVE
M/R	04	M/R	160	SUPPORTED							LIVE	RUBELLA & MEASLES		SAME LIVE & RUBELLA & MEASLES						RUBELLA & MEASLES	SAME LIVE	LIVE
measles	05	Measles	161	SUPPORTED							LIVE	MEASLES		SAME LIVE & MEASLES						SAME LIVE & MEASLES	SAME LIVE	LIVE
rubella	06	Rubella	171	SUPPORTED							LIVE	SAME LIVE & RUBELLA		SAME LIVE & RUBELLA						RUBELLA	SAME LIVE	LIVE
mumps	07	Mumps	162	SUPPORTED							LIVE	SAME LIVE & MUMPS		MUMPS						SAME LIVE & MUMPS	SAME LIVE	LIVE
"Hep B, adolescent or pediatric"	08	"Hep B, adolescent or pediatric"	1240	SUPPORTED					SERIES & FIRST													
"Td (adult), adsorbed"	09	Td	122	SUPPORTED		TD & ADULT																
IPV	10	IPV	147	SUPPORTED														ANY & IPV				
pertussis	11	pertussis	1640	NOT SUPPORTED																		
diphtheria antitoxin	12	diphtheria antitoxin	1090	NOT SUPPORTED																		
TIG	13	TIG	1850	NOT SUPPORTED																		
"IG, unspecified formulation"	14	"IG, NOS"	1420	NOT SUPPORTED																		
"influenza, split (incl. purified surface antigen)"	15	"Influenza IIV3, <3 yrs"	181	SUPPORTED							FLU & FLU+											
"influenza, whole"	16	"Influenza IIV3, NOS"	179	SUPPORTED							FLU & FLU+											
"Hib, unspecified formulation"	17	Hib	128	SUPPORTED						BOOSTER DOSE & HIB ONLY & SERIES DOSE												
"rabies, intramuscular injection"	18	Rabies	210	NOT SUPPORTED																		
BCG	19	BCG	211	NOT SUPPORTED																		
DTaP	20	DTaP	110	SUPPORTED		CHILD																
varicella	21	Varicella	178	SUPPORTED							LIVE	SAME LIVE		SAME LIVE						SAME LIVE	SINGLE	
DTP-Hib	22	DTP-Hib	121	SUPPORTED		CHILD				BOOSTER DOSE & SERIES DOSE												
plague	23	plague	1650	NOT SUPPORTED																		
anthrax	24	anthrax	1030	NOT SUPPORTED																		
"typhoid, oral"	25	"typhoid, oral"	1910	NOT SUPPORTED																		
cholera	26	cholera	1060	NOT SUPPORTED																		
botulinum antitoxin	27	botulinum antitoxin	1050	NOT SUPPORTED																		
